"","ID","variable","value"
"61",3790726531691,"x",-0.2942878
"62",3790736466900,"x",-0.28940335
"63",3790745967264,"x",-0.27719223
"64",3790756313618,"x",-0.2759711
"65",3790768963670,"x",-0.25887558
"66",3790775766014,"x",-0.21980001
"67",3790786109868,"x",-0.16485001
"68",3790796015285,"x",-0.13798556
"69",3790805951795,"x",-0.17217667
"70",3790816006483,"x",-0.20270446
"71",3790825834868,"x",-0.2185789
"72",3790835431691,"x",-0.19782001
"73",3790846085754,"x",-0.16118668
"74",3790855179868,"x",-0.12089001
"75",3790867904816,"x",-0.109900005
"76",3790875455858,"x",-0.11966889
"77",3790888353410,"x",-0.11234222
"78",3790894934452,"x",-0.11478445
"79",3790905573358,"x",-0.109900005
"80",3790914740077,"x",-0.10501556
"81",3790924933983,"x",-0.09524667
"82",3790935040493,"x",-0.11478445
"83",3790944557264,"x",-0.15386
"84",3790954604191,"x",-0.17828223
"85",3790967451014,"x",-0.17584
"86",3790974556275,"x",-0.13310112
"87",3790984872004,"x",-0.07570889
"88",3790994249400,"x",-0.036633335
"89",3791004110650,"x",-0.029306669
"90",3791014567160,"x",-0.070824444
"91",3791024405754,"x",-0.11600556
"92",3791034340285,"x",-0.13676445
"93",3791043824035,"x",-0.12089001
"94",3791054241327,"x",-0.09646778
"95",3791066761535,"x",-0.06960334
"96",3791073818202,"x",-0.05250778
"97",3791083531691,"x",-0.025643334
"98",3791093882056,"x",-0.012211111
"99",3791103810233,"x",-0.018316668
"100",3791113732733,"x",-0.037854444
"101",3791123653150,"x",-0.05006556
"102",3791133576379,"x",-0.026864445
"103",3791143365962,"x",0.017095556
"104",3791153425650,"x",0.06349778
"105",3791166231327,"x",0.08425667
"106",3791173068097,"x",0.06105556
"107",3791182972368,"x",0.019537779
"108",3791193088983,"x",0.014653334
"109",3791202846274,"x",0.039075557
"110",3791212991639,"x",0.064718895
"111",3791222902577,"x",0.059834447
"112",3791232848097,"x",0.037854444
"113",3791242774347,"x",0.025643334
"114",3791252694556,"x",0.014653334
"115",3791265381587,"x",-0.009768889
"116",3791272210858,"x",-0.03052778
"117",3791282485285,"x",-0.064718895
"118",3791292415077,"x",-0.07448778
"119",3791302073410,"x",-0.06716111
"120",3791311869452,"x",-0.039075557
"121",3791322106795,"x",-0.015874445
"122",3791331884504,"x",-0.009768889
"123",3791341998358,"x",-0.02198
"124",3791351622941,"x",-0.024422223
"125",3791364337160,"x",-0.018316668
"126",3791391321014,"x",0.03174889
