Device,Trip,starttime,Time,LaneDistanceRight,Flying_Overtake
10173,122,195440,4940,1.988281,0
10173,122,195440,4950,1.976563,0
10173,122,195440,4960,1.972656,0
10173,122,195440,4970,1.960938,0
10173,122,195440,4980,1.929688,0
10173,122,195440,4990,1.902344,0
10173,122,195440,5000,1.882813,0
10173,122,195440,5010,1.871094,0
10173,122,195440,5020,1.84375,0
10173,122,195440,5030,1.820313,0
10173,122,195440,5040,1.808594,0
10173,122,195440,5050,1.800781,0
10173,122,195440,5060,1.765625,0
10173,122,195440,5070,1.753906,0
10173,122,195440,5080,1.746094,0
10173,122,195440,5090,1.738281,0
10173,122,195440,5100,1.722656,0
10173,122,195440,5110,1.714844,0
10173,122,195440,5120,1.710938,0
10173,122,195440,5130,1.726563,0
10173,122,195440,5140,1.738281,0
10173,122,195440,5150,1.742188,0
10173,122,195440,5160,1.761719,0
10173,122,195440,5170,1.789063,0
10173,122,195440,5180,1.800781,0
10173,122,195440,5190,1.84375,0
10173,122,195440,5200,1.851563,0
10173,122,195440,5210,1.863281,0
10173,122,195440,5220,1.921875,0
10173,122,195440,5230,1.949219,0
10173,122,195440,5240,1.96875,0
10173,122,195440,5250,1.996094,0
10173,122,195440,5260,2.066406,0
10173,122,195440,5270,2.101563,0
10173,122,195440,5280,2.117188,0
10173,122,195440,5290,2.148438,0
10173,122,195440,5300,2.234375,0
10173,122,195440,5310,2.257813,0
10173,122,195440,5320,2.28125,0
10173,122,195440,5330,2.273438,0
10173,122,195440,5340,2.285156,0
10173,122,195440,5350,2.332031,0
10173,122,195440,5360,2.367188,0
10173,122,195440,5370,2.410156,0
10173,122,195440,5380,2.460938,0
10173,122,195440,5390,2.5625,0
10173,122,195440,5400,2.578125,0
10173,122,195440,5410,2.59375,0
10173,122,195440,5420,2.640625,0
10173,122,195440,5430,2.683594,0
10173,122,195440,5440,2.71875,0
10173,122,195440,5450,2.753906,0
10173,122,195440,5460,2.789063,0
10173,122,195440,5470,2.835938,0
10173,122,195440,5480,2.878906,0
10173,122,195440,5490,2.960938,0
10173,122,195440,5500,3.039063,0
10173,122,195440,5510,3.082031,0
10173,122,195440,5520,3.132813,0
10173,122,195440,5530,3.191406,0
10173,122,195440,5540,3.242188,0
10173,122,195440,5550,3.34375,0
10173,122,195440,5560,3.398438,0
10173,122,195440,5570,3.445313,0
10173,122,195440,5580,3.480469,0
10173,122,195440,5590,0.171875,0
10173,122,195440,5600,0.2460938,0
10173,122,195440,5610,0.2890625,0
10173,122,195440,5620,0.359375,0
10173,122,195440,5630,0.390625,0
10173,122,195440,5640,0.4335938,0
10173,122,195440,5650,0.4609375,0
10173,122,195440,5660,0.5429688,0
10173,122,195440,5670,0.5664063,0
10173,122,195440,5680,0.578125,0
10173,122,195440,5690,0.65625,0
10173,122,195440,5700,0.6875,0
10173,122,195440,5710,0.7070313,0
10173,122,195440,5720,0.7539063,0
10173,122,195440,5730,0.78125,0
10173,122,195440,5740,0.796875,0
10173,122,195440,5750,0.8476563,0
10173,122,195440,5760,0.875,0
10173,122,195440,5770,0.890625,0
10173,122,195440,5780,0.9414063,0
10173,122,195440,5790,0.953125,0
10173,122,195440,5800,0.96875,0
10173,122,195440,5810,1.011719,0
10173,122,195440,5820,1.03125,0
10173,122,195440,5830,1.0625,0
10173,122,195440,5840,1.097656,0
10173,122,195440,5850,1.132813,0
10173,122,195440,5860,1.144531,0
10173,122,195440,5870,1.167969,0
10173,122,195440,5880,1.171875,0
10173,122,195440,5890,1.179688,0
10173,122,195440,5900,1.226563,0
10173,122,195440,5910,1.230469,0
10173,122,195440,5920,1.253906,0
10173,122,195440,5930,1.28125,0
10173,122,195440,5940,1.300781,0
10173,122,195440,5950,1.328125,0
10173,122,195440,5960,1.347656,0
10173,122,195440,5970,1.371094,0
10173,122,195440,5980,1.386719,0
10173,122,195440,5990,1.402344,0
10173,122,195440,6000,1.425781,0
10173,122,195440,6010,1.449219,0
10173,122,195440,6020,1.480469,0
10173,122,195440,6030,1.496094,0
10173,122,195440,6040,1.515625,0
10173,122,195440,6050,1.535156,0
10173,122,195440,6060,1.535156,0
10173,122,195440,6070,1.546875,0
10173,122,195440,6080,1.558594,0
10173,122,195440,6090,1.566406,0
10173,122,195440,6100,1.570313,0
10173,122,195440,6110,1.597656,0
10173,122,195440,6120,1.617188,0
10173,122,195440,6130,1.617188,0
10173,122,195440,6140,1.621094,0
10173,122,195440,6150,1.625,0
10173,122,195440,6160,1.601563,0
10173,122,195440,6170,1.574219,0
10173,122,195440,6180,1.570313,0
10173,122,195440,6190,1.554688,0
10173,122,195440,6200,1.554688,0
10173,122,195440,6210,1.546875,0
10173,122,195440,6220,1.523438,0
10173,122,195440,6230,1.496094,0
10173,122,195440,6240,1.4375,0
10173,122,195440,6250,1.390625,0
10173,122,195440,6260,1.375,0
10173,122,195440,6270,1.292969,0
10173,122,195440,6280,1.261719,0
10173,122,195440,6290,1.253906,0
10173,122,195440,6300,1.257813,0
10173,122,195440,6310,1.238281,0
10173,122,195440,6320,1.234375,0
10173,122,195440,6330,1.191406,0
10173,122,195440,6340,1.195313,0
10173,122,195440,6350,1.191406,0
10173,122,195440,6360,1.191406,0
10173,122,195440,6370,1.195313,0
10173,122,195440,6380,1.183594,0
10173,122,195440,6390,1.230469,0
10173,122,195440,6400,1.234375,0
10173,122,195440,6410,1.238281,0
10173,122,195440,6420,1.25,0
10173,122,195440,6430,1.269531,0
10173,122,195440,6440,1.277344,0
10173,122,195440,6450,1.277344,0
10173,122,195440,6460,1.292969,0
10173,122,195440,6470,1.300781,0
10173,122,195440,6480,1.332031,0
10173,122,195440,6490,1.371094,0
10173,122,195440,6500,1.371094,0
10173,122,195440,6510,1.371094,0
10173,122,195440,6520,1.394531,0
10173,122,195440,6530,1.398438,0
10173,122,195440,6540,1.386719,0
10173,122,195440,6550,1.34375,0
10173,122,195440,6560,1.335938,0
10173,122,195440,6570,1.347656,0
10173,122,195440,6580,1.339844,0
10173,122,195440,6590,1.324219,0
10173,122,195440,6600,1.3125,0
10173,122,195440,6610,1.304688,0
10173,122,195440,6620,1.269531,0
10173,122,195440,6630,1.242188,0
10173,122,195440,6640,1.246094,0
10173,122,195440,6650,1.230469,0
10173,122,195440,6660,1.300781,0
10173,122,195440,6670,1.300781,0
